ID_MUNICIPIO,NOME_MUNICIPIO,CODIGO_INFRACAO,DESCRICAO_INFRACAO,UF_PLACA_VEICULO,TIPO_VEICULO,CATEGORIA_VEICULO,QTDE,MES,ANO
6713,MOGI DAS CRUZES,7684-2,Cond motoc/moton/ciclom c/ util cap de seg c/ vis/ocul prot des c/ regul Contran,SP,MOTOCICLO,PARTICULAR,39,11,2025
6475,GUARUJA,7366-2,DIRIGIR VEICULO UTILIZANDO-SE DE TELEFONE CELULAR,SP,AUTOMOVEL,PARTICULAR,7,11,2025
7107,SAO PAULO,5738-0,TRANSITAR PELA CONTRAMAO DE DIRECAO EM VIA C/ SINALIZACAO DE REGUL SENTIDO UNICO,Outras UFs,AUTOMOVEL,,3,11,2025
7107,SAO PAULO,6920-1,"Deixar de efetuar registro do veiculo em 30 dias, qdo for transf a propriedade",Outras UFs,ONIBUS,ALUGUEL,12,11,2025
6105,AGUAI,5738-0,TRANSITAR PELA CONTRAMAO DE DIRECAO EM VIA C/ SINALIZACAO DE REGUL SENTIDO UNICO,SP,MOTOCICLO,PARTICULAR,2,11,2025
6681,MARILIA,5029-2,DIRIGIR VEICULO COM CNH/PPD/ACC COM SUSPENSAO DO DIREITO DE DIRIGIR,SP,AUTOMOVEL,PARTICULAR,11,11,2025
7145,SOROCABA,5843-1,"Deixar de indicar c/ antec, med gesto de braco/luz indicadora, inicio da marcha",SP,AUTOMOVEL,PARTICULAR,2,11,2025
6587,JABOTICABAL,7056-2,CONDUZIR CICLO FAZENDO MALABARISMO OU EQUILIBRANDO-SE EM UMA RODA,SP,MOTOCICLO,PARTICULAR,1,11,2025
6137,AMPARO,6599-2,CONDUZIR O VEICULO REGISTRADO QUE NAO ESTEJA DEVIDAMENTE LICENCIADO,SP,AUTOMOVEL,PARTICULAR,25,11,2025
6619,JUNDIAI,6599-2,CONDUZIR O VEICULO REGISTRADO QUE NAO ESTEJA DEVIDAMENTE LICENCIADO,SP,MOTOCICLO,PARTICULAR,77,11,2025
6323,CATANDUVA,7048-1,"CONDUZIR MOTOCICLETA, MOTONETA E CICLOMOTOR TRANSPORTANDO PASSAGEIRO S/ CAPACETE",SP,MOTOCICLO,PARTICULAR,4,11,2025
6931,PRESIDENTE VENCESLAU,6530-0,USAR NO VEICULO EQUIP C/ SOM EM VOLUME/FREQUENCIA NAO AUTORIZADOS PELO CONTRAN,SP,CAMINHONET,PARTICULAR,1,11,2025
6819,PARANAPUA,7340-0,DIRIGIR O VEIC USANDO CALCADO QUE N SE FIRME NOS PES/COMPROMETA UTILIZ PEDAIS,SP,MOTOCICLO,PARTICULAR,2,11,2025
7021,SANTA BRANCA,6599-2,CONDUZIR O VEICULO REGISTRADO QUE NAO ESTEJA DEVIDAMENTE LICENCIADO,SP,AUTOMOVEL,PARTICULAR,5,11,2025
7071,SANTOS,7340-0,DIRIGIR O VEIC USANDO CALCADO QUE N SE FIRME NOS PES/COMPROMETA UTILIZ PEDAIS,SP,MOTOCICLO,PARTICULAR,30,11,2025
7107,SAO PAULO,5207-0,Dirigir sem atencao ou sem os cuidados indispensaveis a seguranca,SP,CAMINHAO,ALUGUEL,3,11,2025
7107,SAO PAULO,6947-1,CONDUZIR PESSOAS NAS PARTES EXTERNAS DO VEICULO,Outras UFs,CAMIONETA,PARTICULAR,1,11,2025
7107,SAO PAULO,5045-0,DIRIGIR VEICULO COM VALIDADE DE CNH/PPD VENCIDA HA MAIS DE 30 DIAS,Outras UFs,MOTOCICLO,PARTICULAR,3,11,2025
7047,SANTANA DE PARNAIBA,5010-0,DIRIGIR VEICULO SEM POSSUIR CNH/PPD/ACC,SP,AUTOMOVEL,PARTICULAR,1,11,2025
6221,BEBEDOURO,5118-0,PERMITIR POSSE/CONDUCAO DO VEICULO A PESSOA SEM CNH/PPD/ACC,SP,MOTONETA,PARTICULAR,2,11,2025
7019,AGUAS DE SANTA BARBARA,5525-0,ESTACIONAR NA CONTRAMAO DE DIRECAO,SP,AUTOMOVEL,PARTICULAR,1,11,2025
7107,SAO PAULO,7579-0,"REC SUB TEST, EX CLIN, PERIC OU PROC Q PERM CERT INFL ALC/SUB PSIC FOR ART. 277",Outras UFs,AUTOMOVEL,PARTICULAR,40,11,2025
7117,SAO SEBASTIAO DA GRAMA,6530-0,USAR NO VEICULO EQUIP C/ SOM EM VOLUME/FREQUENCIA NAO AUTORIZADOS PELO CONTRAN,SP,CAMINHONET,PARTICULAR,1,11,2025
6313,CARAPICUIBA,6530-0,USAR NO VEICULO EQUIP C/ SOM EM VOLUME/FREQUENCIA NAO AUTORIZADOS PELO CONTRAN,SP,AUTOMOVEL,PARTICULAR,58,11,2025
7107,SAO PAULO,5274-1,UTILIZ VEIC DEMONST/EXIBIR MANOBRA PERIGOSA MEDIANTE ARRANCADA BRUSCA,SP,MOTONETA,PARTICULAR,26,11,2025
6853,PERUIBE,6602-0,CONDUZIR O VEICULO COM QUALQUER UMA DAS PLACAS SEM LEGIBILIDADE E VISIBILIDADE,SP,AUTOMOVEL,PARTICULAR,5,11,2025
7075,SAO BERNARDO DO CAMPO,6599-2,CONDUZIR O VEICULO REGISTRADO QUE NAO ESTEJA DEVIDAMENTE LICENCIADO,SP,AUTOMOVEL,PARTICULAR,101,11,2025
7107,SAO PAULO,5037-1,DIRIGIR VEICULO COM CNH DE CATEGORIA DIFERENTE DA DO VEICULO,SP,MOTONETA,PARTICULAR,63,11,2025
7107,SAO PAULO,5266-3,PARTICIPAR COMO CONDUTOR EXIB/DEMONST PERICIA EM MANOBRA DE VEIC S/ PERMISSAO,SP,MOTONETA,PARTICULAR,2,11,2025
6717,MOGI-MIRIM,7684-2,Cond motoc/moton/ciclom c/ util cap de seg c/ vis/ocul prot des c/ regul Contran,SP,MOTOCICLO,PARTICULAR,50,11,2025
6661,MACATUBA,5274-1,UTILIZ VEIC DEMONST/EXIBIR MANOBRA PERIGOSA MEDIANTE ARRANCADA BRUSCA,SP,MOTOCICLO,PARTICULAR,4,11,2025
6163,ARARAQUARA,7340-0,DIRIGIR O VEIC USANDO CALCADO QUE N SE FIRME NOS PES/COMPROMETA UTILIZ PEDAIS,SP,MOTOCICLO,PARTICULAR,26,11,2025
6181,ATIBAIA,5185-1,Deixar o condutor de usar o cinto seguranca,SP,AUTOMOVEL,PARTICULAR,17,11,2025
6425,FRANCA,7684-2,Cond motoc/moton/ciclom c/ util cap de seg c/ vis/ocul prot des c/ regul Contran,SP,MOTOCICLO,PARTICULAR,53,11,2025
7047,SANTANA DE PARNAIBA,5800-0,DEIXAR GUARDAR DIST SEGURANCA LAT/FRONT ENTRE SEU VEIC E DEMAIS E AO BORDO PISTA,SP,MOTOCICLO,PARTICULAR,7,11,2025
6619,JUNDIAI,5800-0,DEIXAR GUARDAR DIST SEGURANCA LAT/FRONT ENTRE SEU VEIC E DEMAIS E AO BORDO PISTA,SP,AUTOMOVEL,PARTICULAR,1,11,2025
7037,SANTA ISABEL,7056-1,CONDUZIR MOTOC/MOTON/CICLOMOTOR FAZENDO MALABARISMO/EQUILIBRANDO-SE EM UMA RODA,SP,MOTOCICLO,PARTICULAR,2,11,2025
6681,MARILIA,7579-0,"REC SUB TEST, EX CLIN, PERIC OU PROC Q PERM CERT INFL ALC/SUB PSIC FOR ART. 277",SP,AUTOMOVEL,PARTICULAR,31,11,2025
